,vectors,case_id,advocates,win_side,votes_side,convo_id,term,docket_id,mq_score
799,[],1959_49,"{'john_fourt': {'side': 3, 'role': 'inferred'}, 'isaac_e_ferguson': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 1}",13771,1959,49,0.335
800,[],1959_49,"{'john_fourt': {'side': 3, 'role': 'inferred'}, 'isaac_e_ferguson': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 1}",13866,1959,49,0.335
801,[],1959_43,"{'solomon_j_bischoff': {'side': 1, 'role': 'inferred'}, 'abbott_m_sellers': {'side': 3, 'role': 'inferred'}}",0,"{'j__earl_warren': 0, 'j__hugo_l_black': 0, 'j__felix_frankfurter': 0, 'j__william_o_douglas': 0, 'j__tom_c_clark': 0, 'j__john_m_harlan2': 0, 'j__william_j_brennan_jr': 0, 'j__charles_e_whittaker': 0, 'j__potter_stewart': 0}",13817,1959,43,0.335
802,[],1959_389,"{'edgar_e_barton': {'side': 3, 'role': 'inferred'}, 'philip_elman': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13745,1959,389,0.335
803,[],1959_389,"{'edgar_e_barton': {'side': 3, 'role': 'inferred'}, 'philip_elman': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13867,1959,389,0.335
804,[],1959_61,"{'frederick_m_rowe': {'side': 3, 'role': 'inferred'}, 'daniel_m_friedman': {'side': 1, 'role': 'inferred'}, 'henry_j_bison_jr': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13805,1959,61,0.335
805,[],1959_61,"{'frederick_m_rowe': {'side': 3, 'role': 'inferred'}, 'daniel_m_friedman': {'side': 1, 'role': 'inferred'}, 'henry_j_bison_jr': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13899,1959,61,0.335
806,[],1959_3,"{'harvey_goldstein': {'side': 1, 'role': 'for the petitioner'}, 'charles_m_love': {'side': 0, 'role': 'for the respondent'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13789,1959,3,0.335
807,[],1959_3,"{'harvey_goldstein': {'side': 1, 'role': 'for the petitioner'}, 'charles_m_love': {'side': 0, 'role': 'for the respondent'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13894,1959,3,0.335
808,[],1959_416,"{'hayden_c_covington': {'side': 3, 'role': 'inferred'}, 'daniel_m_friedman': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13833,1959,416,0.335
809,[],1959_416,"{'hayden_c_covington': {'side': 3, 'role': 'inferred'}, 'daniel_m_friedman': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13905,1959,416,0.335
